Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio
346,"[18.93, 72.86]",0,0,0.0,0.0
347,"[18.94, 72.86]",0,0,0.0,0.0
348,"[18.95, 72.86]",0,0,0.0,0.1425
349,"[18.96, 72.86]",0,0,0.0,0.091
350,"[18.97, 72.86]",0,0,0.0,0.1994
351,"[18.98, 72.86]",0,0,0.0,0.3277
352,"[18.99, 72.86]",0,0,1649.8508,0.2577
353,"[19.0, 72.86]",6,1,3796.3075,0.3824
354,"[19.01, 72.86]",50,11,14341.6,0.4701
355,"[19.02, 72.86]",61,16,15655.9535,0.5129
356,"[19.03, 72.86]",97,19,18410.824,0.6019
357,"[19.04, 72.86]",181,30,24739.9331,0.5255
358,"[19.05, 72.86]",73,17,15629.7174,0.3315
359,"[19.06, 72.86]",95,48,20384.9502,0.5777
360,"[19.07, 72.86]",92,18,16559.4131,0.599
361,"[19.08, 72.86]",34,4,8360.2382,0.4503
362,"[19.09, 72.86]",16,2,5357.6387,0.3868
363,"[19.1, 72.86]",89,11,19549.5029,0.5568
364,"[19.11, 72.86]",64,21,16750.8887,0.5936
365,"[19.12, 72.86]",76,3,13717.7866,0.5603
366,"[19.13, 72.86]",73,8,16229.8563,0.5277
367,"[19.14, 72.86]",13,0,6932.9379,0.2805
368,"[19.15, 72.86]",14,3,6377.2884,0.4459
369,"[19.16, 72.86]",28,2,8607.3857,0.5283
370,"[19.17, 72.86]",73,11,15410.9099,0.5183
371,"[19.18, 72.86]",44,6,10684.1293,0.5739
372,"[19.19, 72.86]",39,2,12755.5693,0.4625
373,"[19.2, 72.86]",47,8,15445.8305,0.4552
374,"[19.21, 72.86]",52,8,14620.1983,0.5483
375,"[19.22, 72.86]",51,11,15334.3526,0.4664
376,"[19.23, 72.86]",69,20,19664.3043,0.4867
377,"[19.24, 72.86]",65,11,19328.2531,0.5554
378,"[19.25, 72.86]",48,11,15168.651,0.4724
379,"[19.26, 72.86]",20,5,6590.493,0.3352
380,"[18.89, 72.87]",0,0,0.0,0.0
381,"[18.9, 72.87]",0,0,0.0,0.0
382,"[18.91, 72.87]",0,0,0.0,0.0
