Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
16,"[13.11, 80.16]",60,17,18224.5313,0.3385,Chennai,Rejected,0.0,0.0,0.0,0.0
17,"[13.12, 80.16]",79,9,18149.73,0.5233,Chennai,Rejected,0.0,0.0,0.0,0.0
18,"[13.13, 80.16]",124,21,21727.8431,0.5754,Chennai,Rejected,0.0,0.0,0.0,0.0
19,"[12.95, 80.17]",125,17,19892.8697,0.6366,Chennai,Rejected,0.0,0.0,0.0,0.0
20,"[12.96, 80.17]",83,15,16205.7583,0.5919,Chennai,Rejected,0.0,0.0,0.0,0.0
21,"[12.97, 80.17]",28,2,8514.6015,0.3652,Chennai,Rejected,0.0,0.0,0.0,0.0
22,"[12.98, 80.17]",73,8,14511.3723,0.3873,Chennai,Rejected,0.0,0.0,0.0,0.0
23,"[12.99, 80.17]",4,1,2211.3209,0.1776,Chennai,Rejected,0.0,0.0,0.0,0.0
24,"[13.0, 80.17]",2,1,1969.7466,0.2754,Chennai,Rejected,0.0,0.0,0.0,0.0
25,"[13.01, 80.17]",104,9,14942.8027,0.5866,Chennai,Rejected,0.0,0.059167,0.407597,0.0
26,"[13.02, 80.17]",111,19,20448.6465,0.4627,Chennai,PeriUrban,0.03141,0.646457,0.081812,1.0
27,"[13.03, 80.17]",188,32,25930.4659,0.6139,Chennai,Urban,0.547115,0.416362,0.0,3.0
28,"[13.04, 80.17]",157,39,25020.4451,0.593,Chennai,PeriUrban,0.021337000000000002,0.6514939999999999,0.090327,2.0
29,"[13.05, 80.17]",202,38,30026.2983,0.6341,Chennai,PeriUrban,0.22644299999999998,0.32505500000000004,0.014609,2.0
30,"[13.06, 80.17]",144,34,23754.0241,0.5976,Chennai,Rejected,0.084003,0.208912,0.006573999999999999,0.0
31,"[13.07, 80.17]",71,15,13244.3528,0.5704,Chennai,Rejected,0.0,0.0,0.0,0.0
32,"[13.08, 80.17]",105,29,21760.8313,0.6188,Chennai,Rejected,0.0,0.0,0.0,0.0
33,"[13.09, 80.17]",68,14,15761.2395,0.6297,Chennai,Rejected,0.0,0.0,0.0,0.0
34,"[13.1, 80.17]",50,5,12895.8029,0.5865,Chennai,Rejected,0.0,0.0,0.0,0.0
35,"[13.11, 80.17]",13,2,6120.8326,0.3937,Chennai,Rejected,0.0,0.0,0.0,0.0
36,"[13.12, 80.17]",47,3,7436.4506,0.3483,Chennai,Rejected,0.0,0.0,0.0,0.0
37,"[13.13, 80.17]",147,21,23909.0873,0.5355,Chennai,Rejected,0.0,0.0,0.0,0.0
38,"[12.95, 80.18]",121,22,21797.8096,0.5969,Chennai,Rejected,0.0,0.0,0.0,0.0
39,"[12.96, 80.18]",165,19,22054.1325,0.614,Chennai,Rejected,0.0,0.0,0.0,0.0
40,"[12.97, 80.18]",230,47,30245.8921,0.6671,Chennai,Rejected,0.0,0.0,0.0,0.0
